gene_name,gene_type
GTF3C4,GOAD_microglial
GUSB,GOAD_microglial
GVIN1,GOAD_microglial
GYG,GOAD_microglial
GYK,GOAD_microglial
H1F0,GOAD_microglial
H2-AA,GOAD_microglial
H2-AB1,GOAD_microglial
H2-D1,GOAD_microglial
H2-K1,GOAD_microglial
H2-M3,GOAD_microglial
H2-Q2,GOAD_microglial
H2-Q6,GOAD_microglial
H2-Q7,GOAD_microglial
H2-T10,GOAD_microglial
H2AFX,GOAD_microglial
HAAO,GOAD_microglial
HBEGF,GOAD_microglial
HCCS,GOAD_microglial
HCK,GOAD_microglial
HCST,GOAD_microglial
HDAC9,GOAD_microglial
HECTD2,GOAD_microglial
HELZ,GOAD_microglial
HES1,GOAD_microglial
HEXA,GOAD_microglial
HEY1,GOAD_microglial
HGF,GOAD_microglial
HIF1A,GOAD_microglial
HIGD1A,GOAD_microglial
HIGD2A,GOAD_microglial
HIST1H1C,GOAD_microglial
HIST1H1D,GOAD_microglial
HIST1H1E,GOAD_microglial
HIST2H2AA1,GOAD_microglial
HIVEP2,GOAD_microglial
HLF,GOAD_microglial
HMGCS1,GOAD_microglial
HMGN3,GOAD_microglial
HMHA1,GOAD_microglial
HMMR,GOAD_microglial
HPS3,GOAD_microglial
HPSE,GOAD_microglial
HSD17B12,GOAD_microglial
HSPA12A,GOAD_microglial
HSPA1A,GOAD_microglial
HSPA9,GOAD_microglial
HSPD1,GOAD_microglial
HTATIP2,GOAD_microglial
HTRA1,GOAD_microglial
HTRA3,GOAD_microglial
I830077J02RIK,GOAD_microglial
IARS2,GOAD_microglial
ID3,GOAD_microglial
IDH1,GOAD_microglial
IDH2,GOAD_microglial
IDI1,GOAD_microglial
IER2,GOAD_microglial
IER3,GOAD_microglial
IER5L,GOAD_microglial
IFI204,GOAD_microglial
IFI205,GOAD_microglial
IFI27L2A,GOAD_microglial
IFI30,GOAD_microglial
IFIT2,GOAD_microglial
IFIT3,GOAD_microglial
IFITM2,GOAD_microglial
IFITM3,GOAD_microglial
IFNG,GOAD_microglial
IFNGR1,GOAD_microglial
IGF1,GOAD_microglial
IGF2R,GOAD_microglial
IGFBP5,GOAD_microglial
IGFBP6,GOAD_microglial
IGSF6,GOAD_microglial
IL10RA,GOAD_microglial
IL12B,GOAD_microglial
IL12RB2,GOAD_microglial
IL16,GOAD_microglial
IL18BP,GOAD_microglial
IL1A,GOAD_microglial
IL1B,GOAD_microglial
IL1R1,GOAD_microglial
IL1RN,GOAD_microglial
IL23A,GOAD_microglial
IL2RG,GOAD_microglial
IL3RA,GOAD_microglial
IL4I1,GOAD_microglial
IL6RA,GOAD_microglial
IL7R,GOAD_microglial
IMPACT,GOAD_microglial
IMPDH1,GOAD_microglial
INF2,GOAD_microglial
INPP5D,GOAD_microglial
IQGAP1,GOAD_microglial
IQGAP3,GOAD_microglial
IRAK3,GOAD_microglial
IRF4,GOAD_microglial
IRF7,GOAD_microglial
IRG1,GOAD_microglial
IRGM2,GOAD_microglial
ISG15,GOAD_microglial
ISOC1,GOAD_microglial
ITGA4,GOAD_microglial
ITGA5,GOAD_microglial
ITGA9,GOAD_microglial
ITGAL,GOAD_microglial
ITGAX,GOAD_microglial
ITGB1,GOAD_microglial
ITGB1BP1,GOAD_microglial
ITGB2,GOAD_microglial
ITM2B,GOAD_microglial
ITM2C,GOAD_microglial
ITPKB,GOAD_microglial
ITPRIP,GOAD_microglial
IVNS1ABP,GOAD_microglial
JAG1,GOAD_microglial
JMJD6,GOAD_microglial
JOSD1,GOAD_microglial
JUN,GOAD_microglial
KCNJ2,GOAD_microglial
KCNK12,GOAD_microglial
KCNK6,GOAD_microglial
KCTD6,GOAD_microglial
KHDRBS3,GOAD_microglial
KIF11,GOAD_microglial
KIF14,GOAD_microglial
KIF15,GOAD_microglial
KIF1A,GOAD_microglial
KIF5B,GOAD_microglial
KLF10,GOAD_microglial
KLF2,GOAD_microglial
KLF3,GOAD_microglial
KLF7,GOAD_microglial
KLHL6,GOAD_microglial
KLK8,GOAD_microglial
KLRB1A,GOAD_microglial
KLRB1B,GOAD_microglial
KRR1,GOAD_microglial
KYNU,GOAD_microglial
L7RN6,GOAD_microglial
LAG3,GOAD_microglial
LAMC1,GOAD_microglial
LAMP1,GOAD_microglial
LAMP2,GOAD_microglial
LANCL2,GOAD_microglial
LAP3,GOAD_microglial
LCK,GOAD_microglial
LDHA,GOAD_microglial
LDHB,GOAD_microglial
LDLR,GOAD_microglial
LDLRAD3,GOAD_microglial
LEFTY1,GOAD_microglial
LEPREL1,GOAD_microglial
LEPREL2,GOAD_microglial
LEPROT,GOAD_microglial
LEPROTL1,GOAD_microglial
LFNG,GOAD_microglial
LGALS1,GOAD_microglial
LGALS3,GOAD_microglial
LGALS3BP,GOAD_microglial
LGI2,GOAD_microglial
LGMN,GOAD_microglial
LHFPL2,GOAD_microglial
LIFR,GOAD_microglial
LILRB3,GOAD_microglial
LILRB4,GOAD_microglial
LIN54,GOAD_microglial
LIPA,GOAD_microglial
LITAF,GOAD_microglial
LMBRD2,GOAD_microglial
LMNA,GOAD_microglial
LMNB1,GOAD_microglial
LONRF3,GOAD_microglial
LOX,GOAD_microglial
LPL,GOAD_microglial
LRBA,GOAD_microglial
LRFN4,GOAD_microglial
LRP12,GOAD_microglial
LRPAP1,GOAD_microglial
LRRC14B,GOAD_microglial
LRRC3,GOAD_microglial
LRRC58,GOAD_microglial
LRRC59,GOAD_microglial
LRRFIP1,GOAD_microglial
LST1,GOAD_microglial
LTC4S,GOAD_microglial
LUZP1,GOAD_microglial
LY6G6E,GOAD_microglial
LY9,GOAD_microglial
LYL1,GOAD_microglial
LYPLAL1,GOAD_microglial
LYST,GOAD_microglial
LYZ,GOAD_microglial
LYZ1,GOAD_microglial
LYZ2,GOAD_microglial
LYZL4,GOAD_microglial
M6PR,GOAD_microglial
MAF,GOAD_microglial
MAFF,GOAD_microglial
MAGED1,GOAD_microglial
MALAT1,GOAD_microglial
MALT1,GOAD_microglial
MAMDC2,GOAD_microglial
MAML1,GOAD_microglial
MAN1C1,GOAD_microglial
MAN2A1,GOAD_microglial
MAN2B2,GOAD_microglial
MANBA,GOAD_microglial
MANSC1,GOAD_microglial
MAP2K3,GOAD_microglial
MAPK3,GOAD_microglial
MAPKAPK2,GOAD_microglial
MAPKAPK3,GOAD_microglial
45359,GOAD_microglial
MARCKS,GOAD_microglial
MARCKSL1,GOAD_microglial
MAX,GOAD_microglial
MBD2,GOAD_microglial
MBOAT1,GOAD_microglial
MCM3,GOAD_microglial
MCOLN2,GOAD_microglial
MDFIC,GOAD_microglial
MED11,GOAD_microglial
MED8,GOAD_microglial
MEGF9,GOAD_microglial
MEOX1,GOAD_microglial
METRNL,GOAD_microglial
METTL3,GOAD_microglial
MEX3C,GOAD_microglial
MFNG,GOAD_microglial
MGAT4A,GOAD_microglial
MIB1,GOAD_microglial
MICAL2,GOAD_microglial
MIF,GOAD_microglial
MIPOL1,GOAD_microglial
MKNK2,GOAD_microglial
MLXIPL,GOAD_microglial
MMD,GOAD_microglial
MMP12,GOAD_microglial
MNDA,GOAD_microglial
MOCOS,GOAD_microglial
MOSPD2,GOAD_microglial
MPEG1,GOAD_microglial
MPI,GOAD_microglial
MPP1,GOAD_microglial
MR1,GOAD_microglial
MRAS,GOAD_microglial
MRC1,GOAD_microglial
MRGPRE,GOAD_microglial
MRPL13,GOAD_microglial
MRPS18A,GOAD_microglial
MRPS2,GOAD_microglial
MRPS21,GOAD_microglial
MS4A4A,GOAD_microglial
MS4A4B,GOAD_microglial
MS4A6C,GOAD_microglial
MS4A6D,GOAD_microglial
MS4A7,GOAD_microglial
MSN,GOAD_microglial
MT1,GOAD_microglial
MT2,GOAD_microglial
MTHFD2,GOAD_microglial
MTMR11,GOAD_microglial
MTPN,GOAD_microglial
MTSS1,GOAD_microglial
MTUS1,GOAD_microglial
MVD,GOAD_microglial
MVP,GOAD_microglial
MX1,GOAD_microglial
MYC,GOAD_microglial
MYL6,GOAD_microglial
MYO10,GOAD_microglial
MYO1E,GOAD_microglial
MYO5A,GOAD_microglial
NAB1,GOAD_microglial
NAB2,GOAD_microglial
NAGLU,GOAD_microglial
NAP1L1,GOAD_microglial
NAT6,GOAD_microglial
NAT8L,GOAD_microglial
NAV1,GOAD_microglial
NAV3,GOAD_microglial
NBEAL2,GOAD_microglial
NBL1,GOAD_microglial
NCAPG2,GOAD_microglial
NCAPH,GOAD_microglial
NCEH1,GOAD_microglial
NDRG4,GOAD_microglial
NDST1,GOAD_microglial
NDUFA1,GOAD_microglial
NDUFA12,GOAD_microglial
NEIL2,GOAD_microglial
NEIL3,GOAD_microglial
NEK7,GOAD_microglial
NENF,GOAD_microglial
NES,GOAD_microglial
NEURL1A,GOAD_microglial
NEXN,GOAD_microglial
NFAM1,GOAD_microglial
NFIL3,GOAD_microglial
NFKB2,GOAD_microglial
NFKBIE,GOAD_microglial
NGEF,GOAD_microglial
NID2,GOAD_microglial
NLRC3,GOAD_microglial
NLRP3,GOAD_microglial
NMB,GOAD_microglial
NME1,GOAD_microglial
NOD2,GOAD_microglial
NPC2,GOAD_microglial
NPL,GOAD_microglial
NPNT,GOAD_microglial
NR1D1,GOAD_microglial
NR4A2,GOAD_microglial
